,transaction_id,cust_id,tran_date,prod_subcat_code,prod_cat_code,Qty,Rate,Tax,total_amt,Store_type
10,29258453508,270384,2014-02-20,5,3,5,1497,785.925,8270.925,e-Shop
26,80712190438,270351,2014-02-20,1,1,5,772,405.3,4265.3,e-Shop
64,58223423237,268138,2014-02-17,6,5,3,1398,440.37,4634.37,e-Shop
66,22643667930,271489,2014-02-17,12,6,1,1225,128.625,1353.625,TeleShop
72,79792372943,275108,2014-02-17,3,1,3,908,286.02,3010.02,MBR
84,51750724947,273420,2014-02-16,6,5,2,791,166.11,1748.11,TeleShop
91,93274880719,271509,2014-02-16,11,6,3,1363,429.345,4518.345,e-Shop
101,50076728598,269014,2014-02-15,8,3,4,581,244.02,2568.02,e-Shop
141,88853694830,268444,2014-02-13,4,4,3,80,25.2,265.2,MBR
151,45649838090,273667,2014-12-02,11,6,1,1450,152.25,1602.25,e-Shop
171,43134751727,268487,2014-11-02,3,2,1,611,64.155,675.155,e-Shop
242,12161898302,274402,2014-07-02,1,2,1,891,93.555,984.555,TeleShop
246,59774938687,272137,2014-07-02,12,6,1,541,56.805,597.805,e-Shop
257,84834490422,271596,2014-07-02,4,1,4,447,187.74,1975.74,e-Shop
258,76916560921,268720,2014-07-02,10,6,4,348,146.16,1538.16,e-Shop
286,27576087298,270419,2014-05-02,11,6,2,856,179.76,1891.76,MBR
291,28621201753,271310,2014-05-02,10,6,4,219,91.98,967.98,e-Shop
296,33632846691,268606,2014-05-02,3,1,5,1146,601.65,6331.65,e-Shop
302,75588795256,268275,2014-05-02,4,2,5,1144,600.6,6320.6,e-Shop
309,56288202501,267656,2014-04-02,10,6,3,421,132.615,1395.615,e-Shop
310,47710448314,269932,2014-04-02,12,6,4,666,279.72,2943.72,e-Shop
314,95462385777,273023,2014-04-02,11,6,5,1453,762.825,8027.825,e-Shop
337,92456150942,267489,2014-03-02,1,1,4,587,246.54,2594.54,TeleShop
343,73384846911,273877,2014-03-02,10,3,3,97,30.555,321.555,Flagship store
369,32636903929,270875,2014-01-02,10,3,2,316,66.36,698.36,e-Shop
398,67548143862,272515,2014-01-31,1,4,2,586,123.06,1295.06,MBR
403,2547329505,271176,2014-01-30,3,1,5,1428,749.7,7889.7,TeleShop
416,77398776562,270526,2014-01-30,2,6,4,858,360.36,3792.36,Flagship store
418,87197016917,268736,2014-01-30,8,3,4,461,193.62,2037.62,Flagship store
419,69670072494,267594,2014-01-30,9,3,1,176,18.48,194.48,MBR
424,7338933735,271474,2014-01-29,6,5,4,173,72.66,764.66,TeleShop
437,17471192489,271500,2014-01-29,4,4,4,526,220.92,2324.92,TeleShop
438,65582112405,267243,2014-01-29,1,1,3,1259,396.585,4173.585,e-Shop
440,84097282175,269273,2014-01-29,1,2,3,1207,380.205,4001.205,e-Shop
463,98359405385,274331,2014-01-28,3,5,4,1314,551.88,5807.88,MBR
464,99564160197,275204,2014-01-28,2,6,5,868,455.7,4795.7,MBR
470,78612992935,268810,2014-01-28,1,1,5,407,213.675,2248.675,e-Shop
476,20069075349,267771,2014-01-27,12,5,5,416,218.4,2298.4,MBR
480,34115286752,266918,2014-01-27,10,6,3,1381,435.015,4578.015,TeleShop
487,94902984271,270831,2014-01-27,8,3,5,1221,641.025,6746.025,Flagship store
498,38807835117,269786,2014-01-26,7,5,5,245,128.625,1353.625,Flagship store
500,13196430748,268847,2014-01-26,2,6,5,1444,758.1,7978.1,MBR
509,60097466271,273973,2014-01-25,7,5,5,859,450.975,4745.975,Flagship store
520,29893265549,267656,2014-01-25,4,4,3,962,303.03,3189.03,MBR
529,44443398067,266974,2014-01-24,3,1,1,484,50.82,534.82,Flagship store
548,88864598282,268992,2014-01-24,11,6,2,615,129.15,1359.15,e-Shop
551,11737727324,272392,2014-01-23,8,3,4,402,168.84,1776.84,MBR
564,11878870074,268819,2014-01-23,10,5,4,1486,624.12,6568.12,e-Shop
571,83345972260,267740,2014-01-23,12,5,3,133,41.895,440.895,MBR
598,33802822011,269612,2014-01-21,8,3,2,299,62.79,660.79,e-Shop
602,41925796707,268548,2014-01-21,12,6,2,615,129.15,1359.15,TeleShop
610,85045362602,274187,2014-01-21,4,2,1,362,38.01,400.01,e-Shop
619,52486968694,267174,2014-01-20,11,5,3,654,206.01,2168.01,e-Shop
626,59928033888,274208,2014-01-20,4,1,4,452,189.84,1997.84,Flagship store
667,54108507229,270399,2014-01-18,4,2,2,838,175.98,1851.98,MBR
679,80432511156,275215,2014-01-18,3,5,4,1303,547.26,5759.26,MBR
692,12512192994,268020,2014-01-17,11,6,3,558,175.77,1849.77,Flagship store
694,93700052775,267439,2014-01-17,4,1,2,1088,228.48,2404.48,Flagship store
702,91319014001,273787,2014-01-17,5,3,4,815,342.3,3602.3,e-Shop
741,86420605962,271448,2014-01-15,4,4,5,191,100.275,1055.275,e-Shop
744,47374867028,273703,2014-01-14,3,2,1,601,63.105,664.105,MBR
754,26783246066,272144,2014-01-14,1,4,5,513,269.325,2834.325,e-Shop
759,10870253111,270265,2014-01-14,1,1,2,308,64.68,680.68,TeleShop
762,64683812611,269299,2014-01-14,10,6,3,441,138.915,1461.915,MBR
